Date : 2021-08-17 16:42:34
Directory : /Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src
Total : 119 files,  4160 codes, 3058 comments, 2538 blanks, all 9756 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Java       |         87 |      4,118 |      3,058 |      2,512 |      9,688 |
| Markdown   |         22 |         26 |          0 |         20 |         46 |
| Properties |         10 |         16 |          0 |          6 |         22 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        119 |      4,160 |      3,058 |      2,538 |      9,756 |
| com                                                                                                                                |        119 |      4,160 |      3,058 |      2,538 |      9,756 |
| com/jtelaa                                                                                                                         |        119 |      4,160 |      3,058 |      2,538 |      9,756 |
| com/jtelaa/bwbot                                                                                                                   |         38 |      1,407 |        946 |        819 |      3,172 |
| com/jtelaa/bwbot/bw                                                                                                                |          7 |        275 |        201 |        180 |        656 |
| com/jtelaa/bwbot/bw/sys                                                                                                            |          2 |        172 |        129 |        110 |        411 |
| com/jtelaa/bwbot/bw/util                                                                                                           |          2 |         22 |         33 |         27 |         82 |
| com/jtelaa/bwbot/bw_manager                                                                                                        |         13 |        316 |        242 |        201 |        759 |
| com/jtelaa/bwbot/bw_manager/accounts                                                                                               |          2 |        183 |        190 |        126 |        499 |
| com/jtelaa/bwbot/bw_manager/points                                                                                                 |          1 |          3 |          0 |          3 |          6 |
| com/jtelaa/bwbot/bw_manager/processes                                                                                              |          5 |        100 |         40 |         58 |        198 |
| com/jtelaa/bwbot/bw_manager/vpn                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| com/jtelaa/bwbot/bwlib                                                                                                             |          8 |        537 |        336 |        307 |      1,180 |
| com/jtelaa/bwbot/querygen                                                                                                          |          9 |        266 |        167 |        130 |        563 |
| com/jtelaa/bwbot/querygen/processes                                                                                                |          3 |        110 |         96 |         65 |        271 |
| com/jtelaa/bwbot/querygen/searches                                                                                                 |          2 |         95 |         46 |         33 |        174 |
| com/jtelaa/bwbot/querygen/util                                                                                                     |          1 |         12 |          2 |          9 |         23 |
| com/jtelaa/da2                                                                                                                     |         81 |      2,753 |      2,112 |      1,719 |      6,584 |
| com/jtelaa/da2/bot                                                                                                                 |          8 |        177 |        130 |        116 |        423 |
| com/jtelaa/da2/bot/main                                                                                                            |          2 |         52 |         17 |         21 |         90 |
| com/jtelaa/da2/bot/plugin                                                                                                          |          2 |         51 |         79 |         48 |        178 |
| com/jtelaa/da2/bot/util                                                                                                            |          3 |         74 |         34 |         46 |        154 |
| com/jtelaa/da2/director                                                                                                            |         12 |        336 |        209 |        238 |        783 |
| com/jtelaa/da2/director/botmgmt                                                                                                    |          6 |        256 |        177 |        171 |        604 |
| com/jtelaa/da2/director/botmgmt/heartbeat                                                                                          |          2 |         96 |         70 |         69 |        235 |
| com/jtelaa/da2/director/botmgmt/info                                                                                               |          3 |        104 |         48 |         59 |        211 |
| com/jtelaa/da2/director/logserver                                                                                                  |          2 |         30 |         11 |         38 |         79 |
| com/jtelaa/da2/directorapp                                                                                                         |          4 |         70 |         12 |         38 |        120 |
| com/jtelaa/da2/directorapp/gui                                                                                                     |          1 |          5 |          2 |          7 |         14 |
| com/jtelaa/da2/hypervisor_interface                                                                                                |          4 |         35 |         16 |         24 |         75 |
| com/jtelaa/da2/hypervisor_interface/util                                                                                           |          1 |         12 |          4 |          8 |         24 |
| com/jtelaa/da2/lib                                                                                                                 |         50 |      2,112 |      1,733 |      1,289 |      5,134 |
| com/jtelaa/da2/lib/bot                                                                                                             |          2 |         52 |         48 |         45 |        145 |
| com/jtelaa/da2/lib/cli                                                                                                             |          3 |        161 |        146 |         85 |        392 |
| com/jtelaa/da2/lib/config                                                                                                          |          2 |         81 |         74 |         54 |        209 |
| com/jtelaa/da2/lib/console                                                                                                         |          3 |         94 |        103 |         47 |        244 |
| com/jtelaa/da2/lib/control                                                                                                         |          8 |        372 |        311 |        245 |        928 |
| com/jtelaa/da2/lib/crypto                                                                                                          |          3 |        144 |        232 |         81 |        457 |
