Date : 2021-07-06 15:03:42
Directory : /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2
Total : 64 files,  2573 codes, 1268 comments, 1412 blanks, all 5253 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| src/com/jtelaa/da2/redemption_manager/points                                                                                                         |          1 |          3 |          0 |          3 |          6 |
| src/com/jtelaa/da2/redemption_manager/processes                                                                                                      |          2 |         75 |         25 |         35 |        135 |
| src/com/jtelaa/da2/redemption_manager/redeptions                                                                                                     |          1 |          9 |          3 |          6 |         18 |
| src/com/jtelaa/da2/redemption_manager/redeptions/processes                                                                                           |          1 |          9 |          3 |          6 |         18 |
| src/com/jtelaa/da2/redemption_manager/util                                                                                                           |          1 |         29 |          6 |         14 |         49 |
| src/com/jtelaa/da2/scheduler                                                                                                                         |          1 |         14 |          9 |          9 |         32 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                             | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/bot/main/Main.java                                                     | java     |         66 |          2 |         26 |         94 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/bot/plugin/bw/BingRewards.java                                         | java     |         23 |         12 |         17 |         52 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/bot/plugin/bw/util/AcctInfo.java                                       | java     |         88 |         43 |         52 |        183 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/bot/plugin/bw/util/BWMessages.java                                     | java     |         13 |          0 |          5 |         18 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/bot/plugin/bw/util/BWPorts.java                                        | java     |         13 |          1 |          6 |         20 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/bot/plugin/bw/util/SearchSystem.java                                   | java     |         79 |         53 |         52 |        184 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/bot/util/CLI.java                                                      | java     |         18 |          2 |         13 |         33 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/bot/util/Heartbeat.java                                                | java     |         18 |          8 |         12 |         38 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/director/Main.java                                                     | java     |         15 |          5 |         11 |         31 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/director/botmgmt/Bot.java                                              | java     |         32 |          7 |         21 |         60 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/director/botmgmt/BotMgmt.java                                          | java     |         36 |         27 |         25 |         88 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/director/botmgmt/HeartbeatServer.java                                  | java     |         21 |          1 |         14 |         36 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/director/logserver/LogServer.java                                      | java     |          3 |          2 |          4 |          9 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/director/util/MgmtMessages.java                                        | java     |         12 |          0 |          5 |         17 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/directorapp/Main.java                                                  | java     |         65 |         10 |         29 |        104 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/directorapp/gui/GUI.java                                               | java     |          5 |          2 |          7 |         14 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/hypervisor_interface/Main.java                                         | java     |         14 |          9 |         11 |         34 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/hypervisor_interface/util/CLI.java                                     | java     |         12 |          4 |          8 |         24 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/cli/Cases.java                                                     | java     |         81 |         86 |         29 |        196 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/cli/LocalCLI.java                                                  | java     |         62 |         32 |         36 |        130 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/config/ConfigHandler.java                                          | java     |         62 |         28 |         40 |        130 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/console/ConsoleBanners.java                                        | java     |         15 |         61 |         26 |        102 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/console/ConsoleColors.java                                         | java     |         60 |         13 |         10 |         83 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/control/Command.java                                               | java     |        121 |        110 |         79 |        310 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/control/ComputerControl.java                                       | java     |         39 |         19 |         26 |         84 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/control/QueuedCommandReceiver.java                                 | java     |         25 |          7 |         15 |         47 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/control/QueuedCommandSender.java                                   | java     |         39 |          8 |         20 |         67 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/control/QueuedResponseReceiver.java                                | java     |         24 |          7 |         15 |         46 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/control/QueuedResponseSender.java                                  | java     |         41 |          7 |         19 |         67 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/crypto/EncryptionUtils.java                                        | java     |        104 |        205 |         57 |        366 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/crypto/SystemCrypto.java                                           | java     |         40 |         27 |         23 |         90 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/files/Files.java                                                   | java     |         94 |         55 |         58 |        207 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/files/ObjectUtils.java                                             | java     |         24 |         20 |         15 |         59 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/log/Log.java                                                       | java     |         43 |         35 |         29 |        107 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/log/LogSender.java                                                 | java     |         17 |          7 |         11 |         35 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/misc/MiscUtil.java                                                 | java     |         38 |          1 |         20 |         59 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/net/NetTools.java                                                  | java     |         42 |          1 |         21 |         64 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/net/OneTimeConnection.java                                         | java     |         49 |         16 |         24 |         89 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/net/Ports.java                                                     | java     |         12 |          1 |          7 |         20 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/net/StateCodes.java                                                | java     |         10 |          2 |          7 |         19 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/net/client/Client.java                                             | java     |         86 |         28 |         38 |        152 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/net/client/ClientUDP.java                                          | java     |         87 |         28 |         43 |        158 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/net/server/Server.java                                             | java     |         78 |         25 |         41 |        144 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/net/server/ServerUDP.java                                          | java     |         92 |         24 |         51 |        167 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/user/Login.java                                                    | java     |          3 |          2 |          4 |          9 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/user/User.java                                                     | java     |         32 |          3 |         17 |         52 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/lib/user/UserHandler.java                                              | java     |         40 |         42 |         28 |        110 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/querygen/Main.java                                                     | java     |         28 |          6 |         13 |         47 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/querygen/processes/QueryGenerator.java                                 | java     |         35 |         10 |         20 |         65 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/querygen/processes/QueryServer.java                                    | java     |         53 |         32 |         28 |        113 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/querygen/processes/RequestClient.java                                  | java     |         20 |         11 |         11 |         42 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/querygen/searches/ManualSearches.java                                  | java     |         39 |          4 |          8 |         51 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/querygen/searches/SearchHandler.java                                   | java     |         57 |          1 |         18 |         76 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/querygen/util/CLI.java                                                 | java     |         12 |          2 |          9 |         23 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/querygen/util/Query.java                                               | java     |         23 |          6 |         13 |         42 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/redemption_manager/Main.java                                           | java     |         14 |          9 |          9 |         32 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/redemption_manager/accounts/Account.java                               | java     |         85 |          6 |         38 |        129 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/redemption_manager/accounts/Accounts.java                              | java     |         84 |         50 |         51 |        185 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/redemption_manager/points/PointStats.java                              | java     |          3 |          0 |          3 |          6 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/redemption_manager/processes/InfoRequestServer.java                    | java     |         20 |         11 |         10 |         41 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/redemption_manager/processes/InfoResponseClient.java                   | java     |         55 |         14 |         25 |         94 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/redemption_manager/redeptions/processes/PointAnnouncementListener.java | java     |          9 |          3 |          6 |         18 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/redemption_manager/util/Card.java                                      | java     |         29 |          6 |         14 |         49 |
| /home/admin/joseph/Misc/Other/Distributed-Automation-2/DA2/src/com/jtelaa/da2/scheduler/Main.java                                                    | java     |         14 |          9 |          9 |         32 |
| Total                                                                                                                                                |          |      2,573 |      1,268 |      1,412 |      5,253 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
